simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0,0;0,48849;0,4525699;0,4787654;0,5146176;0,4875429;0,5226022;0,5299215;0,5082465;0,5258;0,5;47;49,46777466300282;0;0;0;0;0
500,0091;0,6622859;0,4435978;0,7246301;0,4803044;0,574971;0,5883266;0,4650129;0,5462572;0,4637092;0,5;43;46,38133995997055;0;0;0;0;0
1000,002;0,7901611;0,39071;0,8000507;0,2992354;0,5996508;0,6878158;0,4023886;0,5526215;0,5125924;0,5;39;45,88537582965889;0;0;0;0;0
1500,005;0,8382364;0,3660048;0,8133836;0,2690722;0,6215432;0,6688408;0,4012619;0,5769541;0,5373096;0,5;44;52,16729816820211;0;0;0;0;0
2000,005;0,8266531;0,3690264;0,7945049;0,3473747;0,569366;0,6321593;0,3074848;0,5184577;0,5338711;0,5;35;52,76656024722554;0;0;0;0;0
2500,001;0,8587438;0,3633542;0,7722883;0,3814786;0,5778748;0,6960136;0,2958791;0,558677;0,6303788;0,5;38;54,97414095436237;0;0;0;0;0
3000,011;0,8222167;0,3967955;0,75777;0,4688196;0,4963893;0,701503;0,2880377;0,538059;0,6309692;0,5;44;46,893728138704944;0;0;0;0;0
3500,005;0,8661392;0,3795642;0,7474592;0,4722422;0,5294343;0,6547652;0,2376005;0,5704442;0,571686;0,5;37;51,66349416515491;0;0;0;0;0
4000,009;0,8504366;0,3739652;0,7536767;0,4498559;0,5546136;0,6750878;0,2670314;0,5300651;0,516121;0,5;38;48,72644018484459;0;0;0;0;0
4500,009;0,8493617;0,3785714;0,7116099;0,5472313;0,6197972;0,7204384;0,3360591;0,5551863;0,4883609;0,5;44;49,378375416703136;0;0;0;0;0
