simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0,0;0,5648623;0,4979865;0,4573253;0,537199;0,5844902;0,5537988;0,4527144;0,5243469;0,456732;0,5;26;41,762290597687624;0,03846154;0,0;0,0;0,03846154;0
500,0048;0,830957;0,6474978;0,7670448;0,6323851;0,5128554;0,6689726;0,750177;0,2953567;0,5947853;0,5;22;47,8002705396238;0,0;0,0;0,0;0,0;0
1000,045;0,9572496;0,623816;0,8425555;0,7112806;0,216726;0,615695;0,7644948;0,4370907;0,8232942;0,5;6;53,75452055285493;0,0;0,0;0,0;0,0;0
1500,002;0,9963024;0,6541107;0,9375054;0,7349652;0,3186322;0,5430835;0,7686228;0,2366149;0,8263637;0,5;13;51,04342073913382;0,07692308;0,0;0,07692308;0,0;0
2000,008;0,8880133;0,5160199;0,9249173;0,5400082;0,5887977;0,7606155;0,639989;0,1968478;0,8532891;0,5;17;48,00499888511052;0,0;0,0;0,0;0,0;0
2500,005;0,8409039;0,4791706;0,8777205;0,4446424;0,7784457;0,7062036;0,7820528;0,2412911;0,8742685;0,5;19;46,22614421299505;0,05263158;0,0;0,05263158;0,0;0
3000,0;0,8834233;0,431987;0,8332457;0,4568358;0,7497321;0,6128276;0,6050219;0,2871792;0,8031106;0,5;17;45,62145024294097;0,1764706;0,1764706;0,0;0,0;0
3500,002;0,9439266;0,3914548;0,8624504;0,4638259;0,6032398;0,6762655;0,5791459;0,270281;0,7006057;0,5;17;42,285334750098556;0,2352941;0,2352941;0,0;0,0;0
4000,0;0,8629475;0,4096971;0,8508492;0,5931516;0,4720341;0,671367;0,5360596;0,2447568;0,8255843;0,5;19;49,967561369273774;0,2631579;0,2631579;0,0;0,0;0
4500,007;0,9521503;0,4660578;0,791022;0,5423676;0,2839825;0,7145934;0,5153062;0,2048002;0,7474467;0,5;14;44,71622359323534;0,1428571;0,1428571;0,0;0,0;0
