simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0,0;0,5077998;0,5054532;0,490532;0,4668492;0,4940021;0,5187514;0,4698696;0,499129;0,5199052;0,5;19;91,02665203261233;0,0;0,0;0,0;0,0;0
500,0432;0,6442614;0,4290635;0,5848722;0,4292113;0,3897393;0,4490673;0,4543472;0,5061872;0,4934227;0,5;11;101,24049917595589;0,09090909;0,09090909;0,0;0,0;0
1000,001;0,7968949;0,4171746;0,6246802;0,4465162;0,3623063;0,6311003;0,490117;0,3575045;0,4068488;0,5;13;97,07785564015205;0,07692308;0,07692308;0,0;0,0;0
1500,005;0,8960793;0,4443486;0,6826473;0,4035147;0,2491178;0,6694103;0,6660853;0,238598;0,3581337;0,5;13;85,7521762018847;0,0;0,0;0,0;0,0;0
2000,007;0,9512577;0,4897635;0,7146827;0,5144716;0,1526738;0,7379371;0,6019527;0,2767243;0,4722725;0,5;7;89,49758430521098;0,0;0,0;0,0;0,0;0
2500,027;0,9542966;0,4714077;0,7310817;0,5889997;0,1518471;0,6126844;0,5270993;0,3131623;0,4205654;0,5;10;96,34271980864783;0,1;0,0;0,1;0,0;0
3000,041;0,9627803;0,3772921;0,8252929;0,4668888;0,2306262;0,4825891;0,670067;0,3408654;0,4550053;0,5;10;100,06328319512714;0,1;0,1;0,0;0,0;0
3500,018;0,9768404;0,4325359;0,8315786;0,4954256;0,2791063;0,400616;0,7528858;0,279444;0,4238652;0,5;9;95,65351248018628;0,6666667;0,5555556;0,0;0,1111111;0
4000,047;0,9191341;0,3815133;0,8956662;0,4801922;0,3571857;0,363135;0,691338;0,2257926;0,4639058;0,5;9;83,7071588460104;0,5555556;0,5555556;0,0;0,0;0
4500,026;0,917789;0,3886811;0,8271027;0,5188942;0,4288308;0,4016493;0,6215964;0,2895324;0,3930891;0,5;12;85,08796375023165;0,4166667;0,4166667;0,0;0,0;0
