simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0,0;0,5025356;0,496673;0,4987197;0,4976974;0,4994889;0,4987743;0,4925503;0,4989967;0,4983227;0,5;34;35,211402511552244;0,0;0,0;0,0;0;0
500,002;0,5224781;0,4909026;0,5057839;0,4804359;0,4840302;0,4959019;0,4952803;0,4970578;0,5037845;0,5;7;31,852488455336104;0,0;0,0;0,0;0;0
1000,004;0,5478247;0,511371;0,5072071;0,4529583;0,454689;0,5034966;0,5014873;0,4930853;0,5036293;0,5;3;35,17341029795521;0,0;0,0;0,0;0;0
1500,001;0,5796476;0,5028206;0,5338762;0,452936;0,4761144;0,5238897;0,5125091;0,4884579;0,5028042;0,5;5;36,70011961934646;0,4;0,4;0,0;0;0
2000,025;0,624743;0,5158379;0,5339447;0,4643886;0,4840792;0,5516446;0,4920563;0,4664437;0,5072635;0,5;4;52,138317419712976;1,75;1,0;0,75;0;0
2500,004;0,6623033;0,5278564;0,5249568;0,4776267;0,4747105;0,5322385;0,4899433;0,4213265;0,5211444;0,5;4;53,68134273832496;2,0;1,0;1,0;0;0
3000,004;0,6487177;0,4801041;0,4949824;0,4698107;0,4884224;0,5461174;0,4709289;0,4264813;0,53071;0,5;1;53,68578828922482;2,0;1,0;1,0;0;0
3500,003;0,6833928;0,5095986;0,4972837;0,4526812;0,5060725;0,5042847;0,4850981;0,4085079;0,5307308;0,5;1;67,71481266590436;3,0;1,0;2,0;0;0
4000,003;0,6749406;0,496168;0,5341491;0,456452;0,5441875;0,5408175;0,5045246;0,4316518;0,5259181;0,5;2;62,838478824166806;3,0;1,0;2,0;0;0
4500,003;0,6709798;0,4951959;0,5535852;0,4591854;0,5507095;0,566502;0,5031903;0,4472752;0,5018299;0,5;4;59,25845396942689;3,0;1,0;2,0;0;0
