simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0,0;0,4961179;0,4849461;0,506663;0,5024478;0,5079437;0,4999459;0,4955609;0,4967286;0,4922478;0,5;16;65,13031479365002;0,125;0,0625;0,0;0,0625;0
500,0007;0,5034765;0,4446723;0,5025591;0,5004712;0,5293612;0,4957532;0,5162398;0,5158595;0,5106317;0,5;20;65,66781320617469;0,25;0,05;0,05;0,15;0
1000,007;0,5305387;0,4059086;0,5159903;0,4979374;0,506974;0,5476063;0,4914362;0,5090346;0,5162739;0,5;30;66,92494069038786;0,3666667;0,03333334;0,06666667;0,2666667;0
1500,003;0,5554576;0,4291061;0,5261505;0,4726327;0,5014008;0,5090393;0,504655;0,54768;0,4613695;0,5;26;69,42383657671198;0,8461539;0,0;0,1538462;0,6923077;0
2000,003;0,5520737;0,3968929;0,550393;0,438971;0,5172238;0,4922623;0,4943151;0,5882202;0,3927424;0,5;22;80,52496635054119;1,090909;0,04545455;0,09090909;0,9545454;0
2500,002;0,5610572;0,3826099;0,5250592;0,4290549;0,5068274;0,4961586;0,5039418;0,5767892;0,3844441;0,5;20;69,72839381465592;1,25;0,2;0,1;0,95;0
3000,002;0,5782346;0,3976127;0,5622298;0,4440824;0,5777392;0,5157384;0,4892876;0,6064039;0,4058128;0,5;23;69,25701014859213;1,173913;0,1304348;0,04347826;1,0;0
3500,006;0,5927523;0,4099836;0,5629706;0,4354762;0,6421182;0,5416988;0,50057;0,6173508;0,4324859;0,5;23;76,55163152310523;1,0;0,0;0,0;1,0;0
4000,01;0,6394204;0,4238024;0,5897267;0,4670789;0,6920174;0,5953438;0,4604529;0,6242775;0,4337944;0,5;20;88,11482005070346;1,5;0,0;0,15;1,35;0
4500,002;0,6753169;0,4327092;0,571646;0,4458669;0,7047641;0,5903072;0,4709706;0,6245112;0,4565857;0,5;26;84,03118574054194;1,653846;0,07692308;0,1923077;1,384615;0
