simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0;0,4932288;0,4868637;0,5094743;0,5166616;0,5074357;0,5197725;0,4898374;0,4987501;0,4936794;0,5;12;3,68395;0;0;0;0;0
500,0108;0,5299759;0,4351425;0,5257474;0,5265007;0,5390601;0,532722;0,4530339;0,5412173;0,4695135;0,5;50;0,9311952;0,1;0;0,1;0;0
1000,003;0,6212547;0,3646961;0,5671811;0,525065;0,561428;0,5713828;0,4279553;0,6033137;0,4446435;0,5;54;0,7754002;0,2962963;0;0,2962963;0;0
1500,009;0,7015319;0,3577699;0,5396923;0,5171089;0,5633005;0,6142293;0,415261;0,6160735;0,432323;0,5;56;0,7654765;0,125;0;0,125;0;0
2000,008;0,765694;0,3749757;0,5525168;0,4978183;0,5920838;0,6132125;0,4000755;0,6220207;0,4336012;0,5;45;1,095218;0,02222222;0;0,02222222;0;0
2500,003;0,7735856;0,3705054;0,6066993;0,4791069;0,6856629;0,5754227;0,3892372;0,6009183;0,4028164;0,5;47;0,9382066;0,1489362;0,1276596;0,0212766;0;0
3000,007;0,7515168;0,3640231;0,5602465;0,4168613;0,6934195;0,5914942;0,3542022;0,5893633;0,3920317;0,5;48;0,9300773;0,04166667;0,04166667;0;0;0
3500,008;0,7817919;0,3574518;0,5714821;0,4115556;0,7155749;0,6060861;0,362934;0,554212;0,3961563;0,5;47;0,9422961;0,1914894;0,08510638;0;0,106383;0
4000,011;0,8313738;0,3801534;0,5788898;0,369711;0,731302;0,601685;0,36553;0,5231031;0,4119678;0,5;45;1,150835;0,3777778;0;0;0,3777778;0
4500,005;0,8505489;0,3802784;0,6051452;0,3198756;0,781975;0,601087;0,4073339;0,4671804;0,4894374;0,5;44;1,206476;0,8636364;0;0;0,8636364;0
