simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0;0,4935027;0,480828;0,5180187;0,4842993;0,4732047;0,4927388;0,5159277;0,4987738;0,4901356;0,5;18;2,951056;0;0;0;0;0
500,0032;0,5871086;0,4052209;0,528071;0,5172749;0,4995822;0,495619;0,4441554;0,4972503;0,4574186;0,5;23;2,078091;0;0;0;0;0
1000,002;0,6776107;0,4355403;0,5942912;0,6089042;0,5074151;0,5284327;0,4002805;0,5558035;0,3561409;0,5;20;2,788531;0;0;0;0;0
1500,003;0,7134191;0,4361111;0,6346022;0,5704858;0,4822753;0,5605407;0,4250239;0,6669386;0,2938292;0,5;20;2,907792;0;0;0;0;0
2000,001;0,7584081;0,4709141;0,7309254;0,5463018;0,5062603;0,6075557;0,4541989;0,7325246;0,204268;0,5;19;3,608685;0;0;0;0;0
2500,004;0,8202398;0,4710169;0,6951061;0,5094656;0,4823303;0,5539441;0,4113289;0,748312;0,2102546;0,5;19;3,430307;0;0;0;0;0
3000,004;0,8814464;0,478038;0,6965007;0,4881141;0,4577288;0,6993311;0,4234395;0,7345608;0,1493398;0,5;14;4,890691;0;0;0;0;0
3500,003;0,9169779;0,4895094;0,7043141;0,429707;0,5107862;0,7546551;0,4614433;0,7586749;0,1940025;0,5;19;3,708918;0;0;0;0;0
4000,006;0,9494627;0,4638574;0,670616;0,3341413;0,5069532;0,835093;0,4586155;0,7567238;0,2089823;0,5;16;4,345082;0,125;0,0625;0,0625;0;0
4500,004;0,9822541;0,4501818;0,6694839;0,2267653;0,4677583;0,8279501;0,4523437;0,6593996;0,2304605;0,5;12;5,76479;0;0;0;0;0
