simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0;0,5009237;0,5012144;0,4996491;0,5009928;0,4990861;0,5009386;0,499649;0,5002273;0,5012434;0,5;33;0,8638645;0,1515152;0,06060606;0,06060606;0;0,03030303
500,0011;0,5010022;0,4975407;0,4978392;0,5004316;0,4960615;0,5014649;0,4992241;0,4984858;0,4989722;0,5;45;0,590459;0,3777778;0,1111111;0,2;0,02222222;0,04444445
1000,005;0,5034224;0,4896823;0,4967596;0,4974424;0,492767;0,5082367;0,4931968;0,4978281;0,5007292;0,5;38;0,6931672;0,9473684;0,3157895;0,4210526;0,1842105;0,02631579
1500;0,5039948;0,4843369;0,4966295;0,4979719;0,4933144;0,5054855;0,4913964;0,4928941;0,505884;0,5;46;0,6552922;1,152174;0,326087;0,06521739;0,7391304;0,02173913
2000,011;0,5100231;0,4805583;0,5026653;0,4995433;0,5001214;0,5045097;0,4976895;0,4875408;0,4964061;0,5;36;1,057487;1,361111;0,08333334;0,25;1,027778;0
2500,012;0,5110734;0,4788639;0,5060014;0,4976875;0,4973091;0,5036869;0,4959292;0,4853196;0,4919688;0,5;40;0,8981091;1,35;0,1;0,225;1;0,025
3000,015;0,5082819;0,4632963;0,5144761;0,4941;0,4932022;0,5103123;0,4816379;0,4846676;0,4905454;0,5;43;0,8405438;1,534884;0,1395349;0,2093023;1,116279;0,06976745
3500,003;0,5060728;0,457367;0,5196007;0,4920795;0,4948245;0,510754;0,4832452;0,4803186;0,4923267;0,5;37;1,078456;1,756757;0,1621622;0,1891892;1,378378;0,02702703
4000,017;0,5048622;0,4521806;0,5236254;0,4925737;0,4934179;0,511023;0,4933399;0,4911505;0,4969702;0,5;39;1,551712;2,384615;0,05128205;0,4358974;1,692308;0,2051282
4500,014;0,5063177;0,4517445;0,5238615;0,4929781;0,4939084;0,5119758;0,4958919;0,4853353;0,5007734;0,5;45;1,023282;2,377778;0,04444445;0,3111111;1,844444;0,1777778
