simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0,0;0,4934191;0,5095686;0,4937611;0,5130177;0,4950337;0,5012356;0,4959404;0,4812226;0,4855788;0,5;28;71,56401704402325;0,0;0;0,0;0,0;0
500,0084;0,5972148;0,4230072;0,5557737;0,5943527;0,4669272;0,4672791;0,4729533;0,4579635;0,448987;0,5;45;61,2273176792247;0,0;0;0,0;0,0;0
1000,006;0,6660532;0,3433119;0,5666701;0,6464829;0,4853527;0,4260533;0,3996106;0,4422405;0,3683359;0,5;44;63,05265233784648;0,0;0;0,0;0,0;0
1500,007;0,7480829;0,3548194;0,6067501;0,6597874;0,4462485;0,3776098;0,3784979;0,4914785;0,376013;0,5;39;63,673463231239474;0,07692308;0;0,07692308;0,0;0
2000,012;0,830824;0,3464108;0,6817605;0,7193847;0,5078899;0,4811457;0,4309609;0,5855679;0,4637038;0,5;32;79,2470940359911;0,03125;0;0,03125;0,0;0
2500,01;0,8880088;0,359069;0,6946484;0,7595348;0,5235285;0,5565515;0,4878758;0,5122821;0,3875328;0,5;42;64,77426262785333;0,0;0;0,0;0,0;0
3000,003;0,8989739;0,3555031;0,7354531;0,6370509;0,5122182;0,6757884;0,555938;0,5868964;0,5357822;0,5;34;79,77732569137217;0,0;0;0,0;0,0;0
3500,006;0,9206452;0,3580917;0,6752677;0,6199791;0,5820398;0,7608491;0,6608311;0,5348015;0,6091685;0,5;34;76,46907236081658;0,0;0;0,0;0,0;0
4000,005;0,9295294;0,3663805;0,673956;0,5867776;0,6133502;0,7713349;0,6430234;0,54155;0,5135432;0,5;36;72,56607410140812;0,0;0;0,0;0,0;0
4500,004;0,9233209;0,3698155;0,6973748;0,5534942;0,7058725;0,8252856;0,6417843;0,5199041;0,5014551;0,5;33;72,01456873083912;0,03030303;0;0,0;0,03030303;0
