simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0;0,4972772;0,4896591;0,4940099;0,5082476;0,5102296;0,5038715;0,4925594;0,4873786;0,4974709;0,5;37;1,339831;0,08108108;0,02702703;0,05405406;0;0
500,0008;0,5756404;0,425826;0,5234746;0,5319577;0,5006861;0,5065448;0,4763223;0,4879498;0,4942383;0,5;35;1,428887;0;0;0;0;0
1000,008;0,6422882;0,445229;0,5560986;0,5972295;0,4964557;0,5221156;0,4475533;0,4317289;0,4940816;0,5;27;1,749925;0;0;0;0;0
1500,015;0,7487118;0,4453746;0,6199355;0,5834594;0,5592272;0,462686;0,4978211;0,3951335;0,3610779;0,5;24;1,997254;0,08333334;0,04166667;0,04166667;0;0
2000,007;0,8133977;0,4322819;0,6459175;0,6487606;0,6091805;0,4252627;0,5411946;0,3321079;0,2886163;0,5;29;1,587747;0,3448276;0;0,3448276;0;0
2500,009;0,8877987;0,4400537;0,6226274;0,6701874;0,6249763;0,4717956;0,5851316;0,3537706;0,2976853;0,5;22;2,354053;0,4545455;0;0,2727273;0,1818182;0
3000,009;0,9387617;0,4760626;0,6706505;0,690338;0,648145;0,5389671;0,5959679;0,2513785;0,3101399;0,5;22;2,543539;1,045455;0;0,4090909;0,6363636;0
3500,006;0,9815464;0,4657242;0,6670759;0,6683179;0,7192254;0,6241983;0,6095126;0,2328423;0,3564985;0,5;17;3,274087;1,117647;0,05882353;0,1764706;0,8823529;0
4000,003;0,9134691;0,4767208;0,7011536;0,6785648;0,7672957;0,6456404;0,715479;0,3402994;0,3987921;0,5;19;2,861659;1,263158;0,2631579;0;1;0
4500,002;0,8665327;0,4760149;0,6661969;0,7022805;0,7886239;0,6998318;0,7058896;0,3623753;0,4014125;0,5;22;2,624016;1,272727;0,2727273;0;1;0
