simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0,0;0,5093881;0,5066487;0,5048897;0,5036494;0,5048426;0,5067411;0,5072528;0,4971365;0,4958743;0,5;29;99,39326428904727;0,2068966;0,03448276;0,1034483;0,0;0,06896552
500,0045;0,5961035;0,4234091;0,5828211;0,5552576;0,5667573;0,5312718;0,5882072;0,5809395;0,4898256;0,5;3;90,60637606965147;0,3333333;0,0;0,0;0,3333333;0,0
1000,009;0,590619;0,3877043;0,5801005;0,5424494;0,6588976;0,5676991;0,623008;0,6073049;0,5139965;0,5;11;88,40116152012878;0,0;0,0;0,0;0,0;0,0
1500,007;0,6386011;0,3888625;0,5340956;0,500599;0,6633252;0,5874091;0,6004327;0,6554312;0,4485998;0,5;9;111,2697799738903;0,4444444;0,3333333;0,0;0,1111111;0,0
2000,005;0,6602162;0,3721146;0,5761679;0,4858016;0,6236666;0,6537275;0,5921252;0,8282997;0,4496598;0,5;3;100,66396601288548;0,0;0,0;0,0;0,0;0,0
2500,005;0,6800429;0,4038059;0,6108835;0,5233181;0,6282457;0,6207509;0,5532603;0,857082;0,4231398;0,5;8;112,55778811921654;0,0;0,0;0,0;0,0;0,0
3000,007;0,7469554;0,4335454;0,6475616;0,5485795;0,6114727;0,627662;0,5789299;0,8533341;0,4246732;0,5;6;105,69046526080933;0,1666667;0,0;0,0;0,1666667;0,0
3500,01;0,7490733;0,4073921;0,6555406;0,4963797;0,6161547;0,6036409;0,6022147;0,8402439;0,4301774;0,5;8;129,4671854167732;0,75;0,0;0,125;0,625;0,0
4000,0;0,781247;0,4335621;0,6437582;0,4853379;0,6548684;0,6003767;0,616332;0,7845042;0,4169559;0,5;10;123,61308372481663;0,7;0,0;0,0;0,7;0,0
4500,001;0,7715664;0,4518566;0,5948793;0,4517255;0,6356196;0,6136978;0,6268013;0,7169733;0,3295472;0,5;9;115,79833020248563;1,0;0,0;0,0;1,0;0,0
