simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0,0;0,4923814;0,4404034;0,5326651;0,4271883;0,4903931;0,4030178;0,5257159;0,6496818;0,4351979;0,5;13;84,4897839803655;0,0;0,0;0,0;0,0;0,0
500,0466;0,6235686;0,5266268;0,7806652;0,2455896;0,7630151;0,4988891;0,4474536;0,6243804;0,6799466;0,5;12;102,88368814066074;0,25;0,08333334;0,08333334;0,08333334;0,0
1000,026;0,7939985;0,5867941;0,7904961;0,2340483;0,4306996;0,6614367;0,5952011;0,5419901;0,5017894;0,5;15;104,15490654876974;0,2666667;0,0;0,2;0,06666667;0,0
1500,042;0,8511479;0,694121;0,8256818;0,27015;0,3623858;0,8489144;0,6265112;0,5120507;0,4958623;0,5;19;119,70834442803837;0,2631579;0,05263158;0,1578947;0,05263158;0,0
2000,038;0,816978;0,651608;0,8376656;0,2283342;0,3524007;0,8776487;0,5353193;0,4605688;0,6056902;0,5;16;113,19631789461388;0,25;0,0;0,25;0,0;0,0
2500,018;0,8321375;0,4620244;0,8324947;0,1900039;0,4022023;0,855821;0,5449556;0,3439095;0,7390557;0,5;17;109,1504374835388;0,7647059;0,05882353;0,5882353;0,05882353;0,05882353
3000,044;0,9226879;0,5068609;0,8105304;0,07998235;0,5114224;0,7637399;0,4828256;0,3501472;0,5567156;0,5;13;106,81267335983702;0,7692308;0,0;0,7692308;0,0;0,0
3500,013;0,9197686;0,5808505;0,8094596;0,1422915;0,5889295;0,8678938;0,553168;0,4581655;0,6852447;0,5;18;137,48907900063324;1,222222;0,0;1,111111;0,0;0,1111111
4000,024;0,912414;0,4514854;0,860263;0,1465072;0,6062489;0,8638347;0,6825788;0,4115263;0,6254065;0,5;18;111,99419287284486;1,111111;0,05555556;0,8888889;0,0;0,1666667
4500,026;0,9298913;0,4457614;0,8375184;0,1690663;0,5192162;0,8938084;0,5987597;0,318645;0,5406401;0,5;14;113,01121768195289;1,142857;0,07142857;0,9285714;0,0;0,1428571
