simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0,0;0,5248848;0,4756189;0,5221238;0,5177643;0,4708568;0,5011415;0,5032836;0,521442;0,4855917;0,5;34;47,7978101173201;0,1470588;0,0882353;0,05882353;0,0;0,0
500,007;0,5615414;0,4119666;0,5815424;0,5246246;0,5049679;0,500474;0,5066394;0,5360094;0,5064437;0,5;114;48,78642801354372;0,4122807;0,1578947;0,1578947;0,09649123;0,0
1000,019;0,6774112;0,3426159;0,6464959;0,5224488;0,5045677;0,5150803;0,5250757;0,5147057;0,5396532;0,5;87;60,16251459580284;0,8390805;0,1609195;0,2988506;0,3793103;0,0
1500,007;0,7549938;0,3504436;0,6931916;0,5698506;0,4040532;0,617283;0,5135931;0,5419013;0,5737178;0,5;73;56,852127640674986;1,356164;0,1643836;0,4383562;0,7534246;0,0
2000,023;0,7656866;0,3456584;0,7237879;0,625815;0,3156627;0,6954289;0,504378;0,5050802;0,5196096;0,5;86;62,73489515727205;1,569767;0,2093023;0,3488372;0,9883721;0,02325581
2500,014;0,7971001;0,3441992;0,7373723;0,7045464;0,2768003;0,6612558;0,4718581;0,6141902;0,5530477;0,5;65;70,89222715221312;1,8;0,2615385;0,2769231;1,261539;0,0
3000,025;0,8085018;0,3723378;0,6987136;0,7144419;0,2966182;0,6465631;0,4826955;0,6621273;0,4675454;0,5;76;74,00104260913974;2,210526;0,2105263;0,5394737;1,407895;0,05263158
3500,006;0,7935408;0,353511;0,6880736;0,6942637;0,3596435;0,6511602;0,446148;0,6567386;0,3885744;0,5;88;61,101933904404866;2,420455;0,1477273;0,7272727;1,477273;0,06818182
4000,008;0,7701287;0,3481295;0,6669493;0,7231368;0,4236521;0,6777055;0,4683931;0,6147258;0,373783;0,5;76;62,92768734100549;2,486842;0,2236842;0,7763158;1,407895;0,07894737
4500,011;0,7666427;0,342189;0,6535429;0,6947031;0,4785698;0,6628587;0,4413494;0,5971049;0,4134513;0,5;85;60,62842463604803;2,729412;0,3411765;0,8941177;1,470588;0,02352941
