simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0;0,5010154;0,5088687;0,5075568;0,5023375;0,5052425;0,4971043;0,5074056;0,5005633;0,4996543;0,5;22;1,509184;0,3181818;0,1818182;0,1363636;0;0
500,0078;0,5660257;0,4126172;0,52979;0,5216203;0,4775279;0,5098575;0,5019919;0,5097771;0,4757652;0,5;55;0,4880804;0,7454545;0,1454545;0,4727273;0,03636364;0,09090909
1000,011;0,5960181;0,3916163;0,5303279;0,5520017;0,4666912;0,4786713;0,4871042;0,5026313;0,4702991;0,5;43;0,7206233;1,069767;0,2790698;0,627907;0,1162791;0,04651163
1500,007;0,6146239;0,3843393;0,5446287;0,5396372;0,4822276;0,4878732;0,4805274;0,4985515;0,4493153;0,5;40;0,932416;1,775;0,375;0,7;0,575;0,125
2000,006;0,6031224;0,4011737;0,5390562;0,5960237;0,4263352;0,4693665;0,5118704;0,5154136;0,3944353;0,5;40;1,114205;2,275;0,175;0,375;1,15;0,575
2500,014;0,5969201;0,3909881;0,5666996;0,5946256;0,4386807;0,4995115;0,5274704;0,5039744;0,3810963;0,5;41;1,28021;2,414634;0,1707317;0,3170732;1,536585;0,3902439
3000,011;0,6133116;0,4082732;0,5562554;0,5991045;0,4058558;0,4926662;0,5173225;0,5519556;0,3829767;0,5;41;1,152806;2,634146;0,1463415;0,6097561;1,512195;0,3658537
3500,001;0,6458413;0,4154166;0,6128756;0,5530807;0,3562061;0,5014352;0,4139179;0,5825081;0,3213704;0,5;35;1,35942;2,285714;0,05714286;0,2571429;1,914286;0,05714286
4000,02;0,6924832;0,425567;0,6111733;0,5596764;0,3593084;0,4939048;0,4013992;0,5961263;0,334065;0,5;36;1,373669;2,25;0,08333334;0,2222222;1,944444;0
4500,006;0,7338948;0,4394743;0,5859361;0,5633037;0,3891022;0,4937173;0,3971745;0,5971433;0,3066622;0,5;31;1,549652;2,322581;0;0,2258064;1,967742;0,1290323
