simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0;0,5021704;0,4979246;0,4915649;0,5011162;0,5087066;0,4875652;0,4831032;0,5006783;0,4958025;0,5;57;0,4386812;0,2631579;0,1403509;0,07017544;0,01754386;0,03508772
500,004;0,5010379;0,4621985;0,5281792;0,6769878;0,5525359;0,4255477;0,6126378;0,3699746;0,5301878;0,5;2;13,92683;2;0,5;1,5;0;0
1000,001;0,5473136;0,4927113;0,5161026;0,7448909;0,6954921;0,4190445;0,7170152;0,3255025;0,4975142;0,5;2;15,30531;3;1;1;1;0
1500,004;0,5408647;0,5526126;0,6327541;0,7056364;0,6301968;0,4707083;0,7018763;0,2363244;0,5525506;0,5;3;10,06713;3;1;1;1;0
2000;0,5336587;0,5270092;0,6928766;0,6192684;0,5879155;0,3988688;0,7348536;0,2427533;0,6131492;0,5;2;14,73861;2,5;0,5;1;1;0
2500,007;0,4925669;0,6981025;0,727555;0,5462016;0,5554089;0,4145292;0,9436629;0,269087;0,8227488;0,5;3;10,86088;2;0;1;1;0
3000,008;0,4673975;0,724094;0,6301373;0,6119873;0,5246705;0,6087531;0,9972531;0,2688323;0,7610574;0,5;2;15,30674;2,5;1;1;0,5;0
3500,003;0,5022767;0,6772894;0,6002011;0,6134273;0,5839036;0,5797257;0,9972531;0,3023533;0,7969404;0,5;2;15,61009;2;1;1;0;0
4000,003;0,6435381;0,5989407;0,5912085;0,6192453;0,4778422;0,4689519;0,9886563;0,3612126;0,9130898;0,5;2;15,09332;1;0;1;0;0
4500,002;0,5289949;0,5516598;0,6680422;0,6351141;0,4099412;0,5143304;0,9973984;0,3037217;1;0,5;3;9,007688;0,3333333;0;0,3333333;0;0
