simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0,0;0,5305254;0,4679835;0,5282893;0,4828112;0,4884889;0,5123694;0,4779088;0,5113015;0,4893729;0,5;17;66,01230254966515;0,05882353;0,0;0,05882353;0;0
500,0032;0,6092774;0,5135124;0,6400566;0,4200798;0,5266478;0,5431352;0,4809007;0,551841;0,4803001;0,5;11;64,77938336398118;0,0;0,0;0,0;0;0
1000,015;0,7257426;0,5783066;0,7509975;0,4855045;0,5471316;0,4239933;0,533299;0,3876747;0,3383201;0,5;8;59,82693290781241;0,0;0,0;0,0;0;0
1500,005;0,8436449;0,5270661;0,692253;0,5700727;0,4265654;0,3646232;0,6534067;0,1494048;0,2304295;0,5;8;50,67212595029043;0,0;0,0;0,0;0;0
2000,007;0,8825876;0,5090282;0,6882629;0,5483807;0,4154455;0,3506863;0,6706558;0,0900823;0,3623223;0,5;7;57,01091482488504;0,0;0,0;0,0;0;0
2500,004;0,9314262;0,4915888;0,7602714;0,4839664;0,3199564;0,4248777;0,6786539;0,1708377;0,2928586;0,5;8;51,55032323260608;0,0;0,0;0,0;0;0
3000,002;0,8889418;0,5391414;0,6296366;0,5039736;0,2007052;0,4610762;0,6087968;0,1624145;0,2498316;0,5;9;53,84418447568317;0,0;0,0;0,0;0;0
3500,002;0,9663817;0,5537577;0,7003393;0,3399577;0,3864149;0,5394915;0,5981961;0,1812171;0,3602395;0,5;7;55,158403036309096;0,0;0,0;0,0;0;0
4000,032;0,9316745;0,5230813;0,7957212;0,2597121;0,7384233;0,8745027;0,8279441;0,3713167;0,3512819;0,5;7;71,43434649964588;0,2857143;0,2857143;0,0;0;0
4500,006;0,9498379;0,5756502;0,7544734;0,300699;0,6468634;0,9892799;0,7985606;0,3449463;0,221204;0,5;8;57,83272857322013;0,0;0,0;0,0;0;0
