simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0;0,4885413;0,519212;0,4976505;0,5069672;0,5076059;0,5066432;0,4985409;0,5008557;0,4921745;0,5;36;0,8170054;0,1666667;0,05555556;0,05555556;0,02777778;0,02777778
500,0084;0,5722939;0,4871508;0,5441408;0,5039979;0,4905911;0,501452;0,487663;0,5085287;0,5154386;0,5;59;0,5056193;0,5254237;0,2372881;0,01694915;0,2711864;0
1000,02;0,761136;0,3840165;0,657862;0,4682809;0,46419;0,3948571;0,5983054;0,4896472;0,4307275;0,5;52;0,7131066;1,615385;0,3846154;0,1730769;0,9807692;0,07692308
1500,01;0,7985474;0,3564746;0,6685343;0,4736537;0,476349;0,4352287;0,6233089;0,4494855;0,4147978;0,5;62;0,5863211;2,177419;0,6290323;0,4032258;1,064516;0,08064516
2000,011;0,8152022;0,3566277;0,6469772;0,4625374;0,482755;0,5860454;0,6765746;0,359111;0,4227113;0,5;51;0,8113428;2,901961;0,9411765;0,7647059;1,078431;0,1176471
2500,002;0,8448946;0,3564353;0,6561903;0,483083;0,4336625;0,5006425;0,7020842;0,4440272;0,5299968;0,5;40;1,078251;2,975;1,1;0,25;1,25;0,375
3000,023;0,87887;0,3672604;0,6829134;0,4501038;0,4157892;0,4232866;0,6964779;0,4740572;0,5552804;0,5;50;0,8328206;2,88;0,94;0,08;1,5;0,36
3500,012;0,9047163;0,3588551;0,7090645;0,4310006;0,4230689;0,4018946;0,6577113;0,4765075;0,6095786;0,5;49;0,8845353;2,979592;0,9183673;0,06122449;1,857143;0,1428571
4000,022;0,8784705;0,3646418;0,7154381;0,4183886;0,4737135;0,3639519;0,6126747;0,5063071;0,5692301;0,5;47;0,8696273;3,021277;0,9361702;0,1276596;1,787234;0,1702128
4500;0,91851;0,3626195;0,7220418;0,41385;0,4605902;0,4093741;0,5761985;0,4835917;0,5593697;0,5;49;0,8550616;2,734694;0,6122449;0,1836735;1,836735;0,1020408
