simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0;0,4964615;0,5233771;0,5344993;0,4557106;0,5260741;0,530109;0,4957687;0,4654781;0,5148838;0,5;20;2,513937;0;0;0;0;0
500,0057;0,6774185;0,6108772;0,6455755;0,4252091;0,6089985;0,6804965;0,3696866;0,388384;0,5447178;0,5;13;4,278823;0;0;0;0;0
1000,01;0,7037602;0,5051242;0,6522512;0,3984075;0,6811377;0,6289306;0,2855243;0,3995033;0,4695042;0,5;15;3,737499;0,06666667;0;0,06666667;0;0
1500,004;0,781079;0,4162362;0,7094449;0,4714983;0,6844081;0,5690902;0,4135792;0,3797408;0,3900438;0,5;19;3,170142;0,1052632;0;0,1052632;0;0
2000,004;0,8110307;0,4043945;0,6859695;0,4549019;0,7598262;0,6289557;0,2366936;0,4459011;0,4138144;0,5;15;4,364433;0;0;0;0;0
2500,003;0,7973525;0,373541;0,6624905;0,5867254;0,8099315;0,6052784;0,292433;0,3966757;0,3812548;0,5;18;3,15315;0,05555556;0,05555556;0;0;0
3000,006;0,8487961;0,4077709;0,7375144;0,6323097;0,7907708;0,4829942;0,4160987;0,4145784;0,3220358;0,5;15;2,965579;0,2;0,2;0;0;0
3500,004;0,8341686;0,4141562;0,7562718;0,7760172;0,7187496;0,5204962;0,5627163;0,5201426;0,3829439;0,5;15;4,083854;0,2666667;0,2;0,06666667;0;0
4000,001;0,8566644;0,4383514;0,6922725;0,7992181;0,5892485;0,5541952;0,5503858;0,5729668;0,3856223;0,5;14;3,419341;0,1428571;0,1428571;0;0;0
4500,003;0,8778414;0,4294418;0,6807538;0,8511887;0,5796127;0,6477667;0,6134893;0,5297137;0,5312987;0,5;11;5,296199;0,2727273;0,2727273;0;0;0
