simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0;0,5015689;0,5229154;0,5318081;0,4718399;0,4726634;0,5308415;0,5058501;0,4793698;0,472192;0,5;34;3,01233;0,0882353;0,02941176;0,02941176;0,02941176;0
500,0433;0,8075212;0,4697373;0,7018551;0,4244863;0,4578456;0,4475249;0,3889489;0,4097964;0,5402818;0,5;18;5,74721;0,3888889;0,1111111;0,2222222;0,05555556;0
1000,007;0,8699967;0,447599;0,7573637;0,4798604;0,4010217;0,5426299;0,4277496;0,4841587;0,4498882;0,5;16;9,634561;0,3125;0;0,25;0,0625;0
1500,022;0,9128389;0,4679737;0,8562005;0,493282;0,3509526;0,6184168;0,4474411;0,4535124;0,4997496;0,5;12;10,09106;0,5833333;0;0,4166667;0,1666667;0
2000,041;0,8969105;0,4266932;0,898884;0,461155;0,2048989;0,7603642;0,3847542;0,5334332;0,5486784;0,5;22;7,029594;0,4090909;0,04545455;0,2727273;0,09090909;0
2500,034;0,8811314;0,4647825;0,8187786;0,3970805;0,2757948;0,7405148;0,391927;0,4509496;0,5743784;0,5;19;9,535789;0,6842105;0,1052632;0,4210526;0,1578947;0
3000,012;0,8234187;0,4266072;0,7297318;0,4598582;0,4143297;0,5544073;0,3151278;0,1898007;0,6501628;0,5;16;8,601404;1,4375;0,1875;0,6875;0,5625;0
3500,045;0,7872773;0,4585223;0,7589404;0,4026857;0,4518067;0,5830833;0,4021935;0,1860655;0,6374377;0,5;20;7,862073;1,55;0,15;0,8;0,6;0
4000,052;0,7838739;0,4880711;0,7563992;0,4112332;0,4827421;0,5631086;0,424654;0,1048201;0,5429198;0,5;15;9,044383;1,866667;0,1333333;1;0,7333333;0
4500,034;0,8212858;0,4901432;0,8675691;0,2640232;0,4930685;0,7184247;0,4822223;0,1250418;0,4029006;0,5;18;9,362432;1,555556;0;0,8888889;0,6666667;0
