simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0,0;0,5033222;0,522297;0,533135;0,5188803;0,4915344;0,4923187;0,5125529;0,5145018;0,4545162;0,5;34;48,20376730263414;0,1176471;0,05882353;0,05882353;0,0;0,0
500,0054;0,7006847;0,3828803;0,7516991;0,4743069;0,48359;0,539423;0,5547578;0,3698314;0,5563319;0,5;70;44,561860691710734;0,2;0,1571429;0,04285714;0,0;0,0
1000,006;0,7957416;0,3737622;0,7967709;0,5214683;0,6143985;0,6192818;0,5659167;0,329336;0,4908097;0,5;63;42,881924619257596;0,3333333;0,2380952;0,06349207;0,03174603;0,0
1500,012;0,8945299;0,3834215;0,7923269;0,4917392;0,6819282;0,7508433;0,4313617;0,3670292;0,4537885;0,5;59;49,07048774754302;0,4237288;0,2372881;0,1016949;0,01694915;0,06779661
2000,024;0,8295514;0,3881939;0,8257716;0,617333;0,7056655;0,7606914;0,3220942;0,3067799;0,4180745;0,5;52;42,00803378925686;0,5384616;0,3653846;0,1153846;0,05769231;0,0
2500,009;0,8628716;0,376561;0,8117927;0,6036704;0,6248573;0,7552889;0,4165234;0,2951941;0,464405;0,5;59;41,72012447679063;0,7457627;0,5084746;0,220339;0,01694915;0,0
3000,032;0,8863529;0,381044;0,803741;0,6847764;0,6270389;0,7435361;0,4695119;0,2435209;0,4884706;0,5;56;43,53044754361669;0,8392857;0,5178571;0,3035714;0,01785714;0,0
3500,006;0,9012544;0,3932036;0,7978543;0,6591671;0,6501895;0,7048042;0,5033307;0,202046;0,5142235;0,5;64;43,150822410938154;0,78125;0,484375;0,265625;0,03125;0,0
4000,022;0,8386951;0,3676301;0,7794846;0,680075;0,5656577;0,717269;0,5065461;0,1800261;0,51275;0,5;63;46,12978879723168;1,079365;0,5873016;0,2857143;0,1904762;0,01587302
4500,017;0,8172313;0,3906521;0,7963032;0,7799084;0,6103734;0,7335484;0,5295338;0,1605203;0,6125188;0,5;57;46,95861436138639;1,649123;0,9473684;0,3508772;0,3508772;0,0
