simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0,0;0,5069221;0,4950286;0,4974519;0,500859;0,4959489;0,4986311;0,5025037;0,5034444;0,5010589;0,5;30;35,411418389991205;0,06666667;0,0;0,03333334;0,0;0,03333334
500,0202;0,5294752;0,4375869;0,5184257;0,5188425;0,5012289;0,5188071;0,4748614;0,5057226;0,5192951;0,5;33;37,027329933167266;0,1818182;0,0;0,09090909;0,09090909;0,0
1000,017;0,5532503;0,4017586;0,5270992;0,5135683;0,499359;0,5476971;0,4925266;0,4809838;0,5427756;0,5;35;37,249677507901374;0,5142857;0,0;0,2857143;0,2285714;0,0
1500,003;0,5535972;0,3922334;0,5455279;0,5178922;0,4979612;0,546316;0,510125;0,4944011;0,5601586;0,5;35;43,604533306960654;1,514286;0,3428572;0,5714286;0,6;0,0
2000,025;0,4891389;0,4170345;0,5928221;0,4846291;0,4723367;0,4776311;0,5383712;0,5866846;0,6047875;0,5;40;49,34643435372021;2,775;0,85;0,95;0,975;0,0
2500,019;0,5252261;0,4167945;0,5731738;0,4801191;0,4767229;0,4461346;0,544076;0,603883;0,5743018;0,5;34;48,855770743002246;2,735294;0,7058824;0,9705882;1,058824;0,0
3000,013;0,5876521;0,4176864;0,5712277;0,5062439;0,4804044;0,4516787;0,548833;0,6128917;0,5597993;0,5;34;49,97468042654451;2,264706;0,2941177;0,9117647;1,058824;0,0
3500,005;0,6210828;0,4243428;0,5706886;0,5211015;0,5047603;0,4693688;0,5615447;0,6287104;0,5400503;0,5;33;56,275338001389905;2,30303;0,09090909;1,0;1,212121;0,0
4000,032;0,6315314;0,4073249;0,5703203;0,5207563;0,5025823;0,4687844;0,5393519;0,615952;0,5499826;0,5;31;55,27346655876106;2,483871;0,0;1,032258;1,451613;0,0
4500,001;0,656018;0,4067129;0,5487388;0,5412274;0,5122592;0,4708627;0,5288686;0,6030592;0,5184482;0,5;32;53,315565192107854;2,40625;0,0;1,1875;1,21875;0,0
