simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0,0;0,4968058;0,5057454;0,4879212;0,4939395;0,5068904;0,5003668;0,4849628;0,4959935;0,4956495;0,5;12;56,735381578322944;0;0;0;0;0
500,0034;0,466786;0,4834108;0,4922934;0,5150277;0,550324;0,4564092;0,4996274;0,5364161;0,4792827;0,5;2;63,093095206283394;0;0;0;0;0
1000,001;0,436239;0,4397729;0,4596775;0,5159473;0,5250202;0,4541342;0,4898911;0,5784709;0,5395106;0,5;2;62,34732721061827;0;0;0;0;0
1500,0;0,458779;0,5058566;0,4773749;0,4515705;0,536423;0,428881;0,4760968;0,5796528;0,5209871;0,5;3;61,69908578228537;0;0;0;0;0
2000,013;0,4294165;0,5805592;0,4689631;0,398984;0,5752023;0,4059881;0,4833681;0,59041;0,5658506;0,5;4;63,56209867362748;0;0;0;0;0
2500,001;0,4562678;0,5373678;0,5071619;0,3895794;0,629218;0,4344248;0,5013445;0,6149592;0,5063323;0,5;1;67,46676431200244;0;0;0;0;0
