simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0,0;0,495147;0,4887085;0,5154516;0,4718142;0,5009952;0,5230867;0,4943147;0,4860151;0,4889634;0,5;24;45,376410626288056;0,08333334;0,04166667;0,04166667;0,0;0,0
500,0058;0,570899;0,4208803;0,5758213;0,4506168;0,4706592;0,539502;0,5102932;0,4642426;0,4484092;0,5;50;49,676235601519956;0,32;0,06;0,18;0,08;0,0
1000,015;0,7058778;0,414337;0,6107119;0,4572619;0,3911983;0,4582462;0,4184335;0,3809481;0,4181662;0,5;41;55,04746896910833;0,6097561;0,04878049;0,2682927;0,2926829;0,0
1500,016;0,7787636;0,4208195;0,677516;0,6324044;0,387395;0,5360664;0,3906276;0,2949329;0,334875;0,5;38;55,833555079813664;0,9210526;0,02631579;0,3947369;0,4736842;0,02631579
2000,016;0,8511934;0,4698233;0,7313762;0,6873359;0,373359;0,5611191;0,3662642;0,2867423;0,2185663;0,5;37;75,50668602214955;2,27027;0,02702703;1,189189;0,9459459;0,1081081
2500,046;0,855145;0,4504033;0,7611248;0,7402797;0,3224487;0,6705434;0,3534699;0,2539895;0,2096467;0,5;38;76,21337353355841;2,289474;0,02631579;1,263158;0,9473684;0,05263158
3000,017;0,8701324;0,440668;0,7490753;0,8293633;0,254457;0,7456138;0,3851376;0,2661398;0,2452173;0,5;34;69,8905828521448;2,205882;0,0882353;1,147059;0,9705882;0,0
3500,017;0,8918742;0,457071;0,682983;0,8482218;0,2122016;0,7661002;0,4266584;0,3207694;0,2622499;0,5;39;68,94211057960285;2,102564;0,1538462;1,076923;0,8717949;0,0
4000,0;0,8804868;0,4462512;0,7106436;0,8361347;0,2141575;0,7808805;0,410477;0,3333874;0,2659727;0,5;34;74,34219688526377;2,411765;0,3823529;0,9705882;1,0;0,05882353
4500,004;0,8460341;0,4474974;0,6938511;0,8122082;0,2182211;0,7858643;0,4183794;0,3424669;0,2469567;0,5;36;77,56379576950063;2,5;0,6388889;0,9444444;0,9166667;0,0
