simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0,0;0,4910873;0,5366295;0,5002707;0,4895652;0,4774868;0,5304222;0,4821251;0,5037788;0,4932419;0,5;35;30,79673878187595;0,02857143;0,0;0,02857143;0,0;0,0
500,0291;0,6704164;0,3953144;0,5819005;0,5156249;0,4560041;0,5126377;0,5231804;0,4308457;0,4619663;0,5;56;30,462155555847886;0,3214286;0,07142857;0,1428571;0,08928572;0,01785714
1000,06;0,7287778;0,4086865;0,629999;0,7352916;0,3992698;0,3865357;0,658051;0,454918;0,5038002;0,5;49;39,0789734657882;1,55102;0,1428571;0,7142857;0,6938776;0,0
1500,032;0,7824621;0,401775;0,6953225;0,8668308;0,1561464;0,4558469;0,6208618;0,6179702;0,4505049;0,5;50;35,22596106042281;2,22;0,2;1,0;1,02;0,0
2000,033;0,8570203;0,4137551;0,6700754;0,8907681;0,1003306;0,4889701;0,5956203;0,6770951;0,4658302;0,5;46;38,25543750313526;2,26087;0,173913;0,8043478;1,26087;0,02173913
2500,021;0,8646384;0,4238367;0,7068053;0,8970889;0,1073399;0,5159966;0,477578;0,7441848;0,4414267;0,5;42;39,986759887512164;2,214286;0,2142857;0,6428571;1,357143;0,0
3000,029;0,8897327;0,4062391;0,668859;0,8670269;0,07120951;0,4743625;0,5232325;0,7340253;0,4135267;0,5;37;38,6325137574564;2,189189;0,1621622;0,3243243;1,702703;0,0
3500,01;0,8384936;0,3964861;0,6710969;0,8121379;0,0819846;0,5348134;0,5335534;0,7289723;0,450151;0,5;42;41,18485593186362;2,166667;0,2619048;0,1190476;1,738095;0,04761905
4000,01;0,8292485;0,3889399;0,6734975;0,7819685;0,1462849;0,5974084;0,5295468;0,7367733;0,4741306;0,5;51;35,60651603933156;2,058824;0,2352941;0,09803922;1,72549;0,0
4500,0;0,8175175;0,4237183;0,6907966;0,8061169;0,1609147;0,6071047;0,5698355;0,6567392;0,4799395;0,5;41;40,84503279215511;2,04878;0,1219512;0,07317073;1,853659;0,0
